Word1,Word2
Contract law, Performance of contract
Tort, Compensation for damages
Property ownership, Usufruct
Judgment, Ruling
Notarization, Certification
Criminal liability, Civil liability
Void, Revocation
Lawsuit, Mediation
Victim, Defendant
Plaintiff, Defendant
Enforcement, Compulsory enforcement
Statute of limitations, Prosecution period
Lawyer, Judge
Legal representative, Actual controller
Patent rights, Copyright
Trademark, Copyright
Legal inheritance, Testamentary inheritance
Filing a lawsuit, Appealing
Case hearing, Evidence review
Official document, Informal document
Witness, Testimony
False statement, Misleading statement
Partnership, Corporation
Mergers, Acquisitions
Award, Judgment
Financial audit, Tax audit
State compensation, Administrative compensation
Mediator, Arbitrator
Illegal act, Improper act
Civil rights, Political rights
Asset division, Asset liquidation
Presumption of innocence, Presumption of guilt
First-instance, Final-instance
Public prosecution, Private prosecution
Judicial review, Legal supervision
Agent, Principal
Judicial adjudication, Administrative decision
Evidence materials, Evidence chain
Competition law, Anti-monopoly law
Market regulation, Administrative enforcement
Corporate bankruptcy, Debt restructuring
Asset preservation, Temporary injunction
Criminal litigation, Civil litigation
Litigation request, Compensation request
Legal entity, Natural person
Labor contract, Employment agreement
Creditor, Debtor
Commercial litigation, Civil litigation
Patent infringement, Trademark infringement
Real rights, Rights
Custody, Safekeeping
Cohabitation, Marriage
Arbitration panel, Court panel
Non-litigation, Judicial adjudication
Injured party, Compensation party
Subrogation right, Right of offset
Bankruptcy liquidation, Bankruptcy reorganization
Intestate succession, Testamentary succession
Breach of contract, Contract termination
Contract termination, Contract cancellation
Divorce agreement, Divorce judgment
Professional ethics, Professional responsibility
Enforceable judgment, Judgment execution
Prosecutor’s office, Judicial authority
Asset transfer, Property donation
Administrative penalty, Civil compensation
Direct loss, Indirect loss
Unfair competition, Unlawful competition
Authorization, Entrustment
Legislative authority, Law enforcement authority
Dispute resolution, Dispute mediation
Registered capital, Paid-in capital
Debtor, Obligor
Corporate governance, Business management
Unjust enrichment, Illegal earnings
Transfer of property rights, Sale of assets
Preservation measures, Protective measures
Subrogated lawsuit, Agency lawsuit
Legal person qualification, Legal subject
Personal injury, Property damage
Right of residence, Right of use
Property damage, Personal injury
Court fees, Execution fees
Innocent, Presumption of innocence
Preliminary review, Final decision
Dispute, Conflict
Contract terms, Contract provisions
Ownership, Usufruct
Exclusivity, Non-exclusivity
Burden of proof, Evidence responsibility
Administrative lawsuit, Civil lawsuit
Infringement, Violation
Fraud, Deception
Compliance, Legality
Formation, Effectiveness
Settlement, Negotiation
Debt repayment, Breach of contract payment
Compulsory enforcement, Civil execution
Inheritance rights, Property division
Counterclaim, Appeal
